"name","member_id","year","assembly","party","camp","seniority","n_seminars","n_cross_party","cross_party_ratio","avg_coalition_size","is_governing","is_female","is_proportional","is_seoul","province","total_terms","n_bills_led"
"경대수","23D73143",2017,20,"자유한국당","보수계",2,2,1,0.5,4.5,FALSE,FALSE,FALSE,FALSE,"충북",2,55
"경대수","23D73143",2018,20,"자유한국당","보수계",2,1,1,1,2,FALSE,FALSE,FALSE,FALSE,"충북",2,55
"경대수","23D73143",2019,20,"자유한국당","보수계",2,15,9,0.6,8.33,FALSE,FALSE,FALSE,FALSE,"충북",2,55
"고경화","TOM5642Y",2005,17,"한나라당","보수계",1,5,1,0.2,3.6,FALSE,TRUE,TRUE,FALSE,"비례대",1,22
"고경화","TOM5642Y",2006,17,"한나라당","보수계",1,5,0,0,1,FALSE,TRUE,TRUE,FALSE,"비례대",1,22
"고경화","TOM5642Y",2007,17,"한나라당","보수계",1,4,1,0.25,1.75,FALSE,TRUE,TRUE,FALSE,"비례대",1,22
"고동진","HS39431V",2024,22,"국민의힘","보수계",NA,7,4,0.5714,5,TRUE,NA,NA,NA,NA,NA,63
"고동진","HS39431V",2025,22,"국민의힘","보수계",NA,6,5,0.8333,6.5,TRUE,NA,NA,NA,NA,NA,63
"고민정","WCD5518S",2020,21,"더불어민주당","민주계",1,9,2,0.2222,13.89,TRUE,TRUE,FALSE,TRUE,"서울",1,44
"고민정","WCD5518S",2021,21,"더불어민주당","민주계",1,9,3,0.3333,25.44,TRUE,TRUE,FALSE,TRUE,"서울",1,44
"고민정","WCD5518S",2022,21,"더불어민주당","민주계",1,26,13,0.5,20.42,FALSE,TRUE,FALSE,TRUE,"서울",1,44
"고민정","WCD5518S",2023,21,"더불어민주당","민주계",1,16,5,0.3125,18.88,FALSE,TRUE,FALSE,TRUE,"서울",1,44
