"member_id","assembly","name","name_hanja","name_eng","party","party_elected","district","district_type","committees","gender","birth_date","seniority","n_bills","n_bills_lead"
"JMD3241I",20,"박경미","朴炅美","PARK KYUNGMEE","더불어민주당","더불어민주당","비례대표","proportional","국무총리(정세균) 임명동의에 관한 인사청문특별위원회, 보건복지위원회, 과학기술정보방송통신위원회, 외교통일위원회, 교육위원회, 국회운영위원회, 4차 산업혁명 특별위원회, 미래일자리 특별위원회, 여성가족위원회, 교육문화체육관광위원회","F",1965-10-15,1,775,101
"K3W33496",20,"박광온","朴洸瑥","PARK KWANGON","더불어민주당","더불어민주당","경기 수원시정","constituency","","M",1957-03-26,3,1701,389
"24E9427D",20,"박남춘","朴南春","PARK NAMCHOON","더불어민주당","더불어민주당","인천 남동구갑","constituency","행정안전위원회, 안전행정위원회","M",1958-07-02,2,1272,70
"W4X85128",20,"박대출","朴大出","PARK DAECHUL","자유한국당","새누리당","경남 진주시갑","constituency","재정경제기획위원회","M",1961-03-18,4,398,56
"N4R2421C",20,"박덕흠","朴德欽","PARK DUKHYUM","자유한국당","새누리당","충북 보은군옥천군영동군괴산군","constituency","행정안전위원회, 정치개혁특별위원회","M",1953-10-18,4,1833,63
"EUR98126",20,"박맹우","朴孟雨","PARK MAENGWOO","자유한국당","새누리당","울산 남구을","constituency","국방위원회, 에너지 특별위원회, 산업통상자원중소벤처기업위원회, 4차 산업혁명 특별위원회, 국토교통위원회","M",1951-12-06,2,722,57
"OTE19384",20,"박명재","朴明在","PARK MYUNGJAE","자유한국당","새누리당","경북 포항시남구울릉군","constituency","윤리특별위원회, 재난안전 대책 특별위원회, 국무총리(이낙연) 임명동의에 관한 인사청문특별위원회, 기획재정위원회, 예산결산특별위원회","M",1947-07-05,2,1425,114
"7R156073",20,"박범계","朴範界","PARK BEOMKYE","더불어민주당","더불어민주당","대전 서구을","constituency","순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회","M",1963-04-27,4,284,44
"BLC8630L",20,"박병석","朴炳錫","PARK BYEONGSEUG","더불어민주당","더불어민주당","대전 서구갑","constituency","","M",1952-01-25,6,109,28
"MC32279F",20,"박선숙","朴仙淑","PARK SUNSOOK","바른미래당","국민의당","비례대표","proportional","과학기술정보방송통신위원회, 정무위원회","F",1960-12-01,2,781,69
